beta  ances 
0.409 0.282
0.403 0.273
0.390 0.280
0.384 0.281
0.386 0.283
0.381 0.285
0.382 0.289
0.384 0.290
0.383 0.292
0.383 0.293
0.385 0.289
0.387 0.288
0.386 0.287
0.387 0.286
0.384 0.286
0.383 0.286
0.384 0.286
0.383 0.285
0.382 0.286
0.382 0.285
0.382 0.286
0.382 0.286
0.382 0.285
0.381 0.286
0.380 0.287
0.381 0.286
0.381 0.286
0.382 0.287
0.382 0.287
0.382 0.286
0.382 0.286
0.382 0.285
0.382 0.285
0.382 0.285
0.382 0.285
0.381 0.286
0.381 0.286
0.382 0.286
0.382 0.286
0.382 0.286
0.381 0.286
0.381 0.286
0.381 0.286
0.381 0.286
0.381 0.286
0.381 0.286
0.381 0.286
0.381 0.286
0.381 0.285
