"","nb_loci","GCU","N","polymorphic_loci","Hs","Fis"
"AUT00179",66000,"AUT00179",25,0.933984848484849,0.080704633532462,0.00654049498867226
"ITA00271",66000,"ITA00271",25,0.866075757575758,0.0890309606112981,0.000844842250825706
"SVN00025",66000,"SVN00025",25,0.925212121212121,0.0788528079325611,0.0103551111283104
"SVN00023",66000,"SVN00023",25,0.918621212121212,0.0830566179926913,0.00230648006565304
"ITA00260",66000,"ITA00260",25,0.933742424242424,0.0818410765819132,0.00556059568404865
"ROU00358",66000,"ROU00358",24,0.884121212121212,0.0867296758255914,0.0187022846192859
"ROU00104",66000,"ROU00104",25,0.880787878787879,0.0865086405896895,0.000754646683811089
"ROU00389",66000,"ROU00389",25,0.885939393939394,0.0870004155670822,-0.00319046792593025
"ROU00477",66000,"ROU00477",18,0.884393939393939,0.0877469052277423,-0.00360237028926158
"AUT00215",66000,"AUT00215",24,0.937409090909091,0.0760277438423645,-0.00427275938888982
"DEU00114",66000,"DEU00114",25,0.928106060606061,0.0791552571315913,-0.0127349292253032
"FRA00006",66000,"FRA00006",20,0.939590909090909,0.0627333121897845,0.0147810670174646
"ITA00069",66000,"ITA00069",24,0.924454545454545,0.0824706967681043,0.0129199346221228
"FRA00019",66000,"FRA00019",17,0.934575757575758,0.0753798186740137,-0.121597085535711
"FRA00004",66000,"FRA00004",19,0.918833333333333,0.0811952757547563,-0.110061248764934
"ESP00339",66000,"ESP00339",19,0.940893939393939,0.0660561945738764,-0.202144090867316
"ITA00217",66000,"ITA00217",23,0.917530303030303,0.0806357432524795,0.00590903868108683
"ITA00029",66000,"ITA00029",25,0.844166666666667,0.0895794174727841,0.00770098206483338
