"","GCU","N","nb_loci","polymorphic_loci","Hs","Fis","ave_pairwise_fst","pop_specific_fst","Q1","Q2","Q3","Q4","Q5"
"1","AUT00179",25,20,1,0.326495,0.0574281382563285,0.0679765849426811,0.0431638605014403,0.277636153032,0.08006006062,0.359920063948,0.202323638332,0.08006006072
"2","AUT00215",24,20,0.95,0.313945,0.000318527130548474,0.0897958204607044,0.054844468535127,0.237767744654167,0.125037494116667,0.333266663104167,0.2083291609625,0.0955989103708333
"3","DEU00114",25,20,1,0.3106,-0.134996780424984,0.0818302235914141,0.0463747854625125,0.315172346796,0.120040487816,0.208028691388,0.27669791192,0.080060487384
"4","ESP00339",19,20,0.95,0.26197,-0.443218689162882,0.164681052768161,0.212497045419484,0.683968417721053,0.0527052557526316,0.157915784010526,0.0527052555684211,0.0527052556
"5","FRA00004",19,20,0.95,0.242735,-0.102972377283869,0.125275119369427,0.140389929206641,0.185809309694737,0.445761794605263,0.188952258726316,0.132661055021053,0.0468155809157895
"6","FRA00006",20,20,0.95,0.13632,0.00825264084507038,0.186903247947975,0.376971098219644,9.998633e-05,0.150024987585,0.699749997545,0.15002498753,9.998633e-05
"7","FRA00019",17,20,0.95,0.306185,-0.232408511194213,0.242858829590165,0.231753849116623,0.227699388905882,0.235274941529412,0.0588948003470588,0.242854848364706,0.235276044452941
"8","ITA00029",25,20,0.9,0.229475,-0.0525111667937683,0.133857084823789,0.184006505741548,0.160019991756,0.181723231464,0.199999991384,0.239979993468,0.218276751408
"9","ITA00069",24,20,0.95,0.197865,-0.00750511712531265,0.118471812315359,0.208004734545909,0.325382910925,0.374912494095833,0.257858742758333,9.99905666666667e-05,0.0417458241666667
"10","ITA00217",23,20,0.95,0.262555,-0.00898859286625675,0.124942109435697,0.122866151674535,0.126202819252174,0.24362386433913,0.238864611921739,0.0870130366826087,0.3042956467
"11","ITA00260",25,20,0.95,0.25065,0.101077199281867,0.0995515540836941,0.089064904275055,0.080059992956,0.399899995524,0.199999993944,0.199999993556,0.120039993156
"12","ITA00271",25,20,0.95,0.25275,-0.0383976261127597,0.114577157580099,0.178652291904781,0.359919992148,0.160019989068,0.319939991408,0.12003998792,0.040079987232
"13","ROU00104",25,20,0.9,0.20088,-0.243379131819992,0.126154245096902,0.189357800838168,0.199999987176,0.053024825908,0.746775157888,9.9985348e-05,9.9985348e-05
"14","ROU00358",24,20,0.9,0.20199,-0.122134759146492,0.129759284154238,0.246375297681336,9.99868833333333e-05,9.99868833333333e-05,0.7497249970375,0.249974989845833,9.99868833333333e-05
"15","ROU00389",25,20,0.95,0.17581,0.000255958136624712,0.162418042117687,0.239878304815763,0.08005998656,0.040079986428,0.879659999204,9.9986096e-05,9.9986096e-05
"16","ROU00477",18,20,0.75,0.23057,-0.0304679706813549,0.10586133243458,0.13246807845009,0.0556277643166667,0.111155542911111,0.555377774655556,0.277738877483333,9.99864555555556e-05
"17","SVN00023",25,20,0.95,0.235415,0.0197523522290424,0.0827054440664177,0.077511211164833,0.120039988612,0.12003998856,0.599799996752,0.160019988816,9.998758e-05
"18","SVN00025",25,20,0.85,0.254715,0.111654201754903,0.0777050442426249,0.0608347868154631,0.080059989912,0.120039990396,0.519839995472,0.239979992236,0.04007998976
