"","nb_loci","GCU","N","polymorphic_loci","Hs","Fis"
"AUT00179",45749,"AUT00179",25,0.933922052941048,0.0775140632177622,0.0147475699520342
"ITA00271",45749,"ITA00271",25,0.865242956130189,0.0883665434502067,0.0108395847743188
"SVN00025",45749,"SVN00025",25,0.924501081990863,0.075926725288186,0.0159707780269236
"SVN00023",45749,"SVN00023",25,0.916151172703229,0.0805042267387167,0.0106159253467805
"ITA00260",45749,"ITA00260",25,0.932850991278498,0.0787832452813644,0.0130932294325976
"ROU00358",45749,"ROU00358",24,0.882926402762902,0.0857137073149403,0.0280243035587701
"ROU00104",45749,"ROU00104",25,0.880653129030143,0.0856064677052337,0.014958998828643
"ROU00389",45749,"ROU00389",25,0.885593127718639,0.0857961735363613,0.00813575447112236
"ROU00477",45749,"ROU00477",18,0.886336313362041,0.0860706133447163,0.0117164187496781
"AUT00215",45749,"AUT00215",24,0.937331963540187,0.0731202002973848,0.00850049560837574
"DEU00114",45749,"DEU00114",25,0.927233382150429,0.0764542527126356,-0.00304458895786697
"FRA00006",45749,"FRA00006",20,0.940610723731666,0.0605309992672651,0.0228758149528892
"ITA00069",45749,"ITA00069",24,0.924654090799799,0.0819613236133679,0.0191705163744293
"FRA00019",45749,"FRA00019",17,0.934359220966579,0.0712400314479952,-0.11576588688582
"FRA00004",45749,"FRA00004",19,0.919976392926621,0.0783124724650451,-0.0956626933587552
"ESP00339",45749,"ESP00339",19,0.940894882948261,0.062116221228319,-0.19562841854629
"ITA00217",45749,"ITA00217",23,0.916632057531312,0.0780755795608922,0.0149405898622486
"ITA00029",45749,"ITA00029",25,0.84205119237579,0.0891423890456504,0.0192751586988967
