,GCU,N,nb_loci,polymorphic_loci,Hs,Fis,ave_pairwise_fst,pop_specific_fst (few runs)
1,DEU00129,25,90708,0.842285135,0.146790064,0.079104812,0.082959337,0.06658332
2,DEU00130,25,90708,0.86293381,0.13955688,0.032851558,0.092902626,0.091910839
3,DEU00159,25,90708,0.926742955,0.11499306,-0.001968188,0.08339296,0.163329311
4,DNK00002,21,90708,0.865998589,0.147160659,-0.013780905,0.066560018,0.052868568
5,DNK00010,18,90708,0.871841513,0.13431703,0.031195753,0.05221378,0.048703334
6,DNK00011,10,90708,0.836475283,0.148047383,0.029054211,0.045259983,0.020670092
7,DNK00028,25,90708,0.879007364,0.147956505,0.011395022,0.048268968,0.026354136
8,DNK00031,25,90708,0.875071659,0.14550356,0.038581573,0.041171002,0.018836516
9,DNK00032,18,90708,0.873285708,0.157862337,0.1198295,0.04382415,0.021653858
10,DNK00054,13,90708,0.923865591,0.119028585,0.018834044,0.05499661,0.103168078
11,DNK00056,25,90708,0.886680337,0.135916392,0.020725068,0.046089787,0.036974226
12,DNK00059,25,90708,0.895543943,0.115699938,0.003631966,0.050424772,0.095695363
13,DNK00074,25,90708,0.866230101,0.132601432,0.062746973,0.044176911,0.033653583
14,DNK00075,23,90708,0.879382193,0.147868528,0.086058914,0.048358213,0.028855603
15,DNK00076,25,90708,0.836111479,0.122532901,0.035941842,0.049556841,0.055890351
